Effort_ALL,Effort_ALONE,Effort_OTHER,Effort_NONE,Performance_ALL,Performance_ALONE,Performance_OTHER,Performance_NONE,Group
9.707604833159532,5.571935018939229,8.765076615470003,5.533840340256798,0.015495180511417175,0.014615464523243,0.015391945853056485,0.014491455912577807,Group 1
6.14849059963,11.030988419725274,13.462921426418546,12.811240816880902,0.015773643038048266,0.012699244913199815,0.013396788868627336,0.015432532437516812,Group 2
11.985741651106434,18.60941407397364,21.49045615939594,9.592201664629016,0.016526724864040953,0.02424367258051985,0.02482001142824785,0.015216860354510545,Group 3
6.863232314745211,9.006029192455248,9.662641944437452,8.773701527936982,0.015612304269960983,0.01727219625223064,0.018949276436225654,0.01675148364384282,Group 4
5.707006471069378,5.633131506310384,2.9136140152000034,4.8314770535449885,0.015241934213586023,0.013241481918505197,0.01288852004266374,0.016423877688887582,Group 5
3.029658712447363,2.3805179999532706,2.2642190093599885,1.2365350991190625,0.012056814414066246,0.01090943825153458,0.01153959137328478,0.008868854828700787,Group 6
3.000699805755506,3.840891805651714,3.959514107216981,4.48843252059527,0.014726483715891796,0.01686038592094541,0.015002896101237817,0.014239692577304461,Group 7
6.5289202730053955,6.123294151389316,5.841644450702651,5.330362088909947,0.01584871410622749,0.016044545873641427,0.01703007286008778,0.014695343865578211,Group 8
6.30287436525141,7.139536833662224,7.1894650972672025,5.983271715317281,0.019285513372746272,0.01686155310259624,0.018308612647199497,0.01870530064004185,Group 9
8.775367893322272,8.876205970511519,11.020589425442997,10.818965892230745,0.019578557894015785,0.022444270419866245,0.030055425782022135,0.02309197878132342,Group 10
9.324146908835324,12.10808822927209,6.4142731307565395,7.33920501037248,0.0272206210519406,0.02497880061345935,0.023870238749061145,0.023297463998615257,Group 11
9.28497366097517,14.550452063077891,13.929884985727622,11.48020386420831,0.026480931007790122,0.024116275072203194,0.028529475345578093,0.02406695097178922,Group 12
14.714036814101316,12.8226635500057,14.431459819243615,12.164209619320607,0.03390597386816253,0.023659071182508797,0.028125510834437355,0.02663095027881322,Group 13
4.604156415713264,3.9623275420000366,4.334352370085227,8.097957687694663,0.018448203708456404,0.01801263150827084,0.02208603936854298,0.01892977601173358,Group 14
