condition,Effort,Group,condition,Performance,Group,condition,MAF,Group,condition,t2t,Group
PP,3.17165807513587,Group 1,PP,0.03621341263294833,Group 1,PP,4.046470658976082,Group 1,PP,1.2734150000000002,Group 1
PP,13.333853293415952,Group 2,PP,0.03554389724230753,Group 2,PP,6.939572579593077,Group 2,PP,1.1811550000000002,Group 2
PP,11.219017844759735,Group 3,PP,0.04234924626871834,Group 3,PP,5.807008724761987,Group 3,PP,1.4401750000000002,Group 3
PP,10.353353493257888,Group 4,PP,0.04435411266478769,Group 4,PP,6.036265972402276,Group 4,PP,1.4840250000000004,Group 4
PP,9.742063712998574,Group 5,PP,0.04400216202858093,Group 5,PP,5.128013575519741,Group 5,PP,1.5619400000000003,Group 5
PP,13.619533802777068,Group 6,PP,0.04053679897140816,Group 6,PP,7.0603803391739755,Group 6,PP,1.275985,Group 6
PP,17.63147701668412,Group 7,PP,0.03805704896339601,Group 7,PP,7.617763851664384,Group 7,PP,1.31628,Group 7
PP,15.409445167978319,Group 8,PP,0.0399640568674318,Group 8,PP,7.009118150156145,Group 8,PP,1.336515,Group 8
PP,11.539037863679326,Group 9,PP,0.05370482258502467,Group 9,PP,5.073652455362614,Group 9,PP,1.8390349999999998,Group 9
PP,5.102968596670168,Group 10,PP,0.03961370319532689,Group 10,PP,3.482616338793899,Group 10,PP,1.3822000000000003,Group 10
AD,3.15554039082527,Group 1,AD,0.03171958098764753,Group 1,AD,3.089134458254465,Group 1,AD,1.0777250000000003,Group 1
AD,14.213180880784101,Group 2,AD,0.03788923362453846,Group 2,AD,6.385972422509371,Group 2,AD,1.3495400000000002,Group 2
AD,13.561707166812834,Group 3,AD,0.039302904528305135,Group 3,AD,7.097202453373888,Group 3,AD,1.327755,Group 3
AD,9.308701689211897,Group 4,AD,0.03960466177796593,Group 4,AD,5.060171643155034,Group 4,AD,1.429875,Group 4
AD,13.671943103763502,Group 5,AD,0.05357626559442364,Group 5,AD,5.156743229773089,Group 5,AD,1.923855,Group 5
AD,3.507616309491758,Group 6,AD,0.04214847938260967,Group 6,AD,1.9965271305680314,Group 6,AD,1.4353650000000002,Group 6
AD,10.039941340065699,Group 7,AD,0.04579571923291214,Group 7,AD,3.783313788977311,Group 7,AD,1.6857550000000003,Group 7
AD,15.66095262930769,Group 8,AD,0.040088261907299264,Group 8,AD,6.556412521126675,Group 8,AD,1.36035,Group 8
AD,11.010649774650826,Group 9,AD,0.035021067252358214,Group 9,AD,4.692845788186775,Group 9,AD,1.237085,Group 9
AD,9.040519001886933,Group 10,AD,0.04120784445542785,Group 10,AD,5.039412061354338,Group 10,AD,1.3346550000000001,Group 10
4C,3.8350991574071784,Group 1,4C,0.03130124740177596,Group 1,4C,1.8935052933913827,Group 1,4C,1.077515,Group 1
4C,13.80122713950427,Group 2,4C,0.031883773334419926,Group 2,4C,5.19498511879918,Group 2,4C,1.08616,Group 2
4C,10.088363653754806,Group 3,4C,0.0379682472339834,Group 3,4C,3.731811425463601,Group 3,4C,1.3110650000000001,Group 3
4C,8.05569694652089,Group 4,4C,0.038597997509275214,Group 4,4C,3.2546013904512603,Group 4,4C,1.2898749999999999,Group 4
4C,13.485430636197677,Group 5,4C,0.043454195517364055,Group 5,4C,4.63230393587259,Group 5,4C,1.6075400000000002,Group 5
4C,16.351787267866115,Group 6,4C,0.03695405725271691,Group 6,4C,6.385570919987943,Group 6,4C,1.161485,Group 6
4C,20.48492352212028,Group 7,4C,0.03605021686770682,Group 7,4C,7.231239492311841,Group 7,4C,1.238615,Group 7
4C,13.857729088253517,Group 8,4C,0.033798422593243706,Group 8,4C,5.306459296133786,Group 8,4C,1.1321649999999999,Group 8
4C,10.690182554950391,Group 9,4C,0.03775627770401432,Group 9,4C,3.838894067522323,Group 9,4C,1.27134,Group 9
4C,6.993439671114379,Group 10,4C,0.03638358246644895,Group 10,4C,2.6258938174432114,Group 10,4C,1.32241,Group 10
